Function,Dimensions,A_i,Reliability,Speed,Range_Left,Range_Right
F1,1,0.0,0.7,9.29,1.0,15.0
F1,1,0.1,0.73,8.96,1.0,15.0
F1,1,0.2,0.75,8.61,1.0,15.0
F1,1,0.30000000000000004,0.76,8.76,1.0,15.0
F1,1,0.4,0.72,8.28,1.0,15.0
F1,1,0.5,0.69,8.86,1.0,15.0
F1,1,0.6000000000000001,0.8,8.82,1.0,15.0
F1,1,0.7000000000000001,0.71,8.33,1.0,15.0
F1,1,0.8,0.77,8.39,1.0,15.0
F1,1,0.9,0.7,9.42,1.0,15.0
F1,1,1.0,0.69,8.52,1.0,15.0
F2,1,0.0,0.48,9.01,1.0,22.0
F2,1,0.1,0.53,9.86,1.0,22.0
F2,1,0.2,0.53,9.67,1.0,22.0
F2,1,0.30000000000000004,0.61,9.3,1.0,22.0
F2,1,0.4,0.57,9.61,1.0,22.0
F2,1,0.5,0.52,9.18,1.0,22.0
F2,1,0.6000000000000001,0.51,9.41,1.0,21.0
F2,1,0.7000000000000001,0.58,9.78,1.0,22.0
F2,1,0.8,0.56,9.95,1.0,22.0
F2,1,0.9,0.52,9.86,1.0,22.0
F2,1,1.0,0.46,8.75,1.0,22.0
F3,2,0.0,0.42,17.86,2.0,25.0
F3,2,0.1,0.36,17.87,4.0,25.0
F3,2,0.2,0.37,18.88,5.0,25.0
F3,2,0.30000000000000004,0.38,18.2,4.0,25.0
F3,2,0.4,0.41,19.32,5.0,25.0
F3,2,0.5,0.39,18.6,7.0,25.0
F3,2,0.6000000000000001,0.36,19.11,9.0,25.0
F3,2,0.7000000000000001,0.39,17.67,4.0,25.0
F3,2,0.8,0.41,18.12,6.0,25.0
F3,2,0.9,0.36,18.03,7.0,25.0
F3,2,1.0,0.43,18.52,3.0,25.0
F4,2,0.0,0.42,14.27,4.0,20.0
F4,2,0.1,0.34,14.29,6.0,20.0
F4,2,0.2,0.38,14.24,5.0,20.0
F4,2,0.30000000000000004,0.4,14.41,5.0,20.0
F4,2,0.4,0.42,14.43,3.0,20.0
F4,2,0.5,0.48,13.53,4.0,20.0
F4,2,0.6000000000000001,0.46,14.13,2.0,20.0
F4,2,0.7000000000000001,0.39,14.74,4.0,20.0
F4,2,0.8,0.42,13.99,3.0,20.0
F4,2,0.9,0.32,15.06,3.0,20.0
F4,2,1.0,0.41,13.98,4.0,20.0
F5,2,0.0,0.26,23.25,12.0,30.0
F5,2,0.1,0.3,22.93,8.0,30.0
F5,2,0.2,0.3,21.1,6.0,29.0
F5,2,0.30000000000000004,0.3,22.73,4.0,30.0
F5,2,0.4,0.31,23.13,8.0,30.0
F5,2,0.5,0.33,22.83,10.0,30.0
F5,2,0.6000000000000001,0.26,21.6,10.0,30.0
F5,2,0.7000000000000001,0.3,22.83,9.0,30.0
F5,2,0.8,0.33,22.74,8.0,30.0
F5,2,0.9,0.29,22.63,9.0,30.0
F5,2,1.0,0.33,21.98,8.0,30.0
F6,2,0.0,0.77,40.6,13.0,70.0
F6,2,0.1,0.8,40.75,7.0,70.0
F6,2,0.2,0.78,40.5,7.0,70.0
F6,2,0.30000000000000004,0.82,38.9,11.0,70.0
F6,2,0.4,0.78,41.06,12.0,70.0
F6,2,0.5,0.78,40.55,6.0,70.0
F6,2,0.6000000000000001,0.82,40.0,14.0,70.0
F6,2,0.7000000000000001,0.74,40.07,14.0,70.0
F6,2,0.8,0.83,41.69,7.0,70.0
F6,2,0.9,0.81,40.81,15.0,69.0
F6,2,1.0,0.8,40.29,6.0,70.0
F7,2,0.0,0.66,36.04,3.0,80.0
F7,2,0.1,0.73,42.05,4.0,79.0
F7,2,0.2,0.71,35.99,2.0,80.0
F7,2,0.30000000000000004,0.68,38.48,2.0,80.0
F7,2,0.4,0.72,34.81,2.0,78.0
F7,2,0.5,0.72,38.71,1.0,80.0
F7,2,0.6000000000000001,0.7,38.58,2.0,80.0
F7,2,0.7000000000000001,0.66,42.85,3.0,80.0
F7,2,0.8,0.71,39.59,1.0,80.0
F7,2,0.9,0.71,39.23,2.0,80.0
F7,2,1.0,0.72,38.64,2.0,79.0
F8,2,0.0,0.7,37.12,8.0,118.0
F8,2,0.1,0.74,38.39,7.0,120.0
F8,2,0.2,0.73,36.92,8.0,119.0
F8,2,0.30000000000000004,0.69,37.94,10.0,120.0
F8,2,0.4,0.7,42.47,6.0,120.0
F8,2,0.5,0.7,41.33,6.0,116.0
F8,2,0.6000000000000001,0.72,39.38,11.0,120.0
F8,2,0.7000000000000001,0.69,39.47,6.0,120.0
F8,2,0.8,0.74,40.81,6.0,119.0
F8,2,0.9,0.72,37.28,4.0,119.0
F8,2,1.0,0.71,40.37,6.0,114.0
F9,2,0.0,0.35,41.43,2.0,70.0
F9,2,0.1,0.33,39.41,5.0,70.0
F9,2,0.2,0.37,45.12,2.0,70.0
F9,2,0.30000000000000004,0.31,43.6,5.0,70.0
F9,2,0.4,0.31,36.68,4.0,69.0
F9,2,0.5,0.35,40.75,4.0,70.0
F9,2,0.6000000000000001,0.3,44.53,3.0,70.0
F9,2,0.7000000000000001,0.44,42.11,2.0,70.0
F9,2,0.8,0.39,39.21,3.0,70.0
F9,2,0.9,0.4,43.28,3.0,70.0
F9,2,1.0,0.37,43.92,6.0,70.0
F10,2,0.0,0.84,175.09,2.0,396.0
F10,2,0.1,0.79,175.13,24.0,400.0
F10,2,0.2,0.75,177.74,4.0,385.0
F10,2,0.30000000000000004,0.77,177.58,12.0,392.0
F10,2,0.4,0.82,168.9,10.0,386.0
F10,2,0.5,0.82,162.04,2.0,398.0
F10,2,0.6000000000000001,0.8,174.58,17.0,397.0
F10,2,0.7000000000000001,0.82,163.24,16.0,399.0
F10,2,0.8,0.81,174.81,3.0,400.0
F10,2,0.9,0.8,177.21,7.0,389.0
F10,2,1.0,0.77,171.16,1.0,398.0
F11,2,0.0,0.73,29.13,8.0,45.0
F11,2,0.1,0.69,29.37,7.0,44.0
F11,2,0.2,0.77,29.25,9.0,45.0
F11,2,0.30000000000000004,0.75,28.73,8.0,45.0
F11,2,0.4,0.73,27.77,7.0,45.0
F11,2,0.5,0.73,28.96,6.0,45.0
F11,2,0.6000000000000001,0.71,29.95,9.0,45.0
F11,2,0.7000000000000001,0.69,29.53,6.0,45.0
F11,2,0.8,0.72,29.02,7.0,45.0
F11,2,0.9,0.72,26.94,6.0,45.0
F11,2,1.0,0.75,28.5,9.0,45.0
F12,2,0.0,0.47,11.11,3.0,16.0
F12,2,0.1,0.4,11.84,4.0,16.0
F12,2,0.2,0.41,11.12,4.0,16.0
F12,2,0.30000000000000004,0.46,11.11,4.0,16.0
F12,2,0.4,0.38,11.48,2.0,16.0
F12,2,0.5,0.38,11.58,3.0,16.0
F12,2,0.6000000000000001,0.45,11.28,4.0,16.0
F12,2,0.7000000000000001,0.4,11.14,1.0,16.0
F12,2,0.8,0.37,11.41,2.0,16.0
F12,2,0.9,0.4,11.26,2.0,16.0
F12,2,1.0,0.45,11.34,1.0,16.0
F13,2,0.0,0.57,12.04,4.0,18.0
F13,2,0.1,0.51,12.44,1.0,18.0
F13,2,0.2,0.59,12.38,3.0,18.0
F13,2,0.30000000000000004,0.55,12.63,4.0,18.0
F13,2,0.4,0.5,12.21,3.0,18.0
F13,2,0.5,0.62,12.56,2.0,18.0
F13,2,0.6000000000000001,0.56,12.41,5.0,18.0
F13,2,0.7000000000000001,0.61,12.08,2.0,18.0
F13,2,0.8,0.56,12.09,3.0,18.0
F13,2,0.9,0.57,11.81,2.0,18.0
F13,2,1.0,0.57,12.0,1.0,18.0
