Group,1,2,3,4,5,6,7,8,9,10,11,12,13,XÌ…
prop | empty,0.17,0.33,0.0,0.01,0.0,0.0,0.26,0.0,0.58,0.45,0.0,0.11,0.02,0.14846153846153848
prop | one,0.07,0.37,0.0,0.02,0.0,0.0,0.32,0.0,0.58,0.39,0.01,0.04,0.05,0.1423076923076923
prop | two,0.1,0.41,0.0,0.02,0.01,0.01,0.29,0.0,0.43,0.44,0.0,0.04,0.04,0.1376923076923077
prop | unif2,0.17,0.32,0.0,0.03,0.0,0.0,0.39,0.01,0.32,0.38,0.0,0.03,0.06,0.13153846153846155
prop | unif7,0.11,0.34,0.0,0.0,0.0,0.0,0.26,0.0,0.36,0.39,0.0,0.02,0.05,0.1176923076923077
prop | up2,0.14,0.42,0.0,0.02,0.0,0.0,0.27,0.0,0.53,0.4,0.0,0.05,0.03,0.1430769230769231
prop | up7,0.11,0.33,0.0,0.03,0.0,0.0,0.35,0.0,0.5,0.42,0.01,0.06,0.05,0.14307692307692307
prop | ur2,0.17,0.31,0.01,0.05,0.0,0.0,0.36,0.0,0.49,0.45,0.0,0.03,0.01,0.14461538461538462
prop | ur7,0.15,0.27,0.01,0.03,0.01,0.0,0.46,0.0,0.28,0.36,0.0,0.08,0.02,0.1284615384615385
prop | ut3,0.14,0.33,0.0,0.03,0.0,0.0,0.29,0.0,0.53,0.4,0.0,0.03,0.04,0.13769230769230772
prop | ut7,0.11,0.33,0.0,0.0,0.0,0.0,0.28,0.0,0.35,0.43,0.0,0.05,0.04,0.1223076923076923
rank | empty,0.17,0.4,0.02,0.0,0.0,0.0,0.31,0.0,0.21,0.33,0.01,0.02,0.03,0.1153846153846154
rank | one,0.12,0.26,0.0,0.01,0.0,0.0,0.35,0.0,0.22,0.4,0.0,0.04,0.06,0.1123076923076923
rank | two,0.05,0.37,0.0,0.04,0.0,0.0,0.45,0.0,0.24,0.39,0.0,0.02,0.02,0.12153846153846154
rank | unif2,0.14,0.42,0.0,0.0,0.0,0.0,0.32,0.0,0.25,0.39,0.0,0.01,0.03,0.12000000000000001
rank | unif7,0.15,0.27,0.0,0.03,0.01,0.0,0.43,0.0,0.29,0.39,0.0,0.03,0.03,0.1253846153846154
rank | up2,0.14,0.31,0.0,0.02,0.0,0.0,0.4,0.0,0.37,0.4,0.01,0.08,0.06,0.13769230769230772
rank | up7,0.13,0.33,0.01,0.04,0.0,0.0,0.36,0.0,0.28,0.37,0.0,0.09,0.08,0.13
rank | ur2,0.12,0.24,0.0,0.03,0.0,0.0,0.37,0.0,0.28,0.44,0.0,0.02,0.07,0.12076923076923077
rank | ur7,0.14,0.33,0.01,0.03,0.0,0.0,0.39,0.0,0.36,0.37,0.0,0.03,0.07,0.13307692307692306
rank | ut3,0.13,0.25,0.0,0.02,0.0,0.0,0.44,0.0,0.22,0.46,0.0,0.01,0.03,0.12000000000000001
rank | ut7,0.09,0.39,0.0,0.02,0.0,0.0,0.38,0.0,0.16,0.38,0.02,0.02,0.07,0.1176923076923077
tour3 | empty,0.18,0.4,0.0,0.04,0.01,0.0,0.35,0.0,0.36,0.36,0.02,0.03,0.06,0.13923076923076924
tour3 | one,0.18,0.37,0.02,0.03,0.01,0.0,0.32,0.0,0.44,0.47,0.01,0.06,0.07,0.1523076923076923
tour3 | two,0.23,0.44,0.02,0.05,0.0,0.0,0.33,0.0,0.29,0.32,0.02,0.07,0.03,0.13846153846153847
tour3 | unif2,0.18,0.36,0.05,0.04,0.01,0.0,0.41,0.0,0.38,0.3,0.02,0.09,0.07,0.14692307692307696
tour3 | unif7,0.21,0.33,0.04,0.04,0.02,0.0,0.25,0.01,0.45,0.35,0.01,0.09,0.05,0.14230769230769233
tour3 | up2,0.19,0.31,0.03,0.06,0.02,0.0,0.43,0.0,0.37,0.28,0.01,0.11,0.06,0.14384615384615387
tour3 | up7,0.23,0.2,0.03,0.09,0.01,0.0,0.32,0.01,0.27,0.26,0.02,0.12,0.11,0.12846153846153846
tour3 | ur2,0.18,0.32,0.02,0.03,0.0,0.01,0.39,0.0,0.4,0.3,0.02,0.03,0.12,0.14
tour3 | ur7,0.19,0.2,0.0,0.08,0.01,0.0,0.28,0.0,0.4,0.23,0.0,0.09,0.18,0.12769230769230772
tour3 | ut3,0.19,0.38,0.0,0.01,0.0,0.0,0.44,0.0,0.34,0.22,0.01,0.08,0.08,0.13461538461538464
tour3 | ut7,0.18,0.4,0.01,0.06,0.0,0.0,0.43,0.0,0.37,0.26,0.01,0.09,0.05,0.1430769230769231
tour5 | empty,0.21,0.33,0.03,0.06,0.04,0.02,0.41,0.02,0.39,0.51,0.06,0.14,0.14,0.1815384615384616
tour5 | one,0.27,0.38,0.05,0.19,0.05,0.03,0.37,0.01,0.33,0.32,0.03,0.11,0.17,0.1776923076923077
tour5 | two,0.2,0.31,0.07,0.17,0.05,0.0,0.3,0.04,0.31,0.24,0.06,0.2,0.17,0.1630769230769231
tour5 | unif2,0.21,0.27,0.09,0.1,0.0,0.01,0.28,0.02,0.35,0.27,0.06,0.19,0.14,0.15307692307692308
tour5 | unif7,0.31,0.2,0.09,0.15,0.03,0.0,0.3,0.0,0.32,0.18,0.06,0.19,0.18,0.15461538461538463
tour5 | up2,0.3,0.26,0.09,0.11,0.03,0.03,0.26,0.02,0.3,0.27,0.07,0.23,0.24,0.16999999999999998
tour5 | up7,0.21,0.22,0.06,0.16,0.02,0.0,0.2,0.02,0.33,0.2,0.04,0.2,0.28,0.14923076923076925
tour5 | ur2,0.23,0.3,0.14,0.13,0.01,0.0,0.29,0.01,0.35,0.2,0.08,0.17,0.26,0.16692307692307692
tour5 | ur7,0.29,0.34,0.03,0.18,0.05,0.02,0.27,0.02,0.22,0.22,0.09,0.24,0.23,0.16923076923076924
tour5 | ut3,0.31,0.29,0.04,0.12,0.06,0.0,0.37,0.04,0.37,0.28,0.08,0.17,0.24,0.1823076923076923
tour5 | ut7,0.24,0.3,0.03,0.08,0.02,0.0,0.29,0.02,0.38,0.23,0.04,0.17,0.22,0.1553846153846154
tour7 | empty,0.27,0.44,0.12,0.22,0.19,0.05,0.76,0.08,0.6,0.89,0.09,0.28,0.29,0.32923076923076927
tour7 | one,0.26,0.39,0.18,0.22,0.13,0.05,0.42,0.18,0.29,0.46,0.15,0.34,0.29,0.25846153846153846
tour7 | two,0.31,0.34,0.13,0.31,0.13,0.07,0.29,0.14,0.2,0.61,0.17,0.24,0.33,0.2515384615384616
tour7 | unif2,0.36,0.25,0.13,0.26,0.11,0.02,0.46,0.09,0.35,0.42,0.1,0.24,0.29,0.23692307692307693
tour7 | unif7,0.35,0.27,0.11,0.3,0.14,0.02,0.24,0.05,0.29,0.3,0.11,0.27,0.37,0.2169230769230769
tour7 | up2,0.31,0.25,0.12,0.36,0.13,0.04,0.37,0.09,0.49,0.34,0.13,0.25,0.26,0.2415384615384615
tour7 | up7,0.29,0.28,0.16,0.25,0.16,0.0,0.21,0.1,0.43,0.22,0.09,0.35,0.33,0.22076923076923077
tour7 | ur2,0.26,0.37,0.13,0.25,0.14,0.02,0.38,0.09,0.22,0.36,0.11,0.29,0.26,0.22153846153846152
tour7 | ur7,0.32,0.27,0.19,0.36,0.1,0.01,0.17,0.12,0.24,0.34,0.09,0.3,0.36,0.22076923076923075
tour7 | ut3,0.35,0.26,0.15,0.22,0.13,0.0,0.35,0.07,0.3,0.44,0.07,0.28,0.27,0.22230769230769232
tour7 | ut7,0.41,0.33,0.16,0.26,0.11,0.01,0.42,0.08,0.26,0.36,0.16,0.19,0.32,0.23615384615384613
