Group,1,2,3,4,5,6,7,8,9,XÌ…
prop | empty,0.1,0.6,0.03,0.02,0.0,0.0,0.3,0.01,0.37,0.1588888888888889
prop | unif1,0.28,0.58,0.29,0.32,0.35,0.07,0.64,0.47,0.54,0.3933333333333333
prop | unif2,0.34,0.45,0.4,0.39,0.37,0.05,0.53,0.31,0.37,0.3566666666666667
prop | unif7,0.4,0.42,0.23,0.4,0.3,0.03,0.55,0.24,0.39,0.32888888888888895
prop | up2,0.35,0.43,0.36,0.34,0.32,0.04,0.56,0.39,0.42,0.3566666666666667
prop | up7,0.33,0.4,0.35,0.36,0.53,0.03,0.51,0.35,0.32,0.3533333333333333
prop | ur2,0.35,0.48,0.33,0.38,0.64,0.09,0.66,0.46,0.48,0.43
prop | ur7,0.32,0.4,0.47,0.59,0.61,0.01,0.49,0.54,0.41,0.42666666666666664
prop | ut3,0.28,0.46,0.3,0.37,0.25,0.0,0.59,0.26,0.37,0.32
prop | ut7,0.27,0.48,0.3,0.29,0.3,0.01,0.58,0.29,0.48,0.3333333333333333
rank | empty,0.09,0.51,0.0,0.01,0.0,0.0,0.32,0.01,0.35,0.14333333333333334
rank | unif1,0.34,0.45,0.35,0.46,0.54,0.14,0.68,0.6,0.74,0.47777777777777786
rank | unif2,0.36,0.46,0.36,0.5,0.61,0.05,0.6,0.39,0.74,0.45222222222222225
rank | unif7,0.28,0.44,0.31,0.48,0.67,0.05,0.48,0.2,0.69,0.4
rank | up2,0.31,0.46,0.44,0.56,0.66,0.02,0.62,0.59,0.71,0.4855555555555556
rank | up7,0.29,0.38,0.49,0.54,0.68,0.06,0.59,0.41,0.51,0.4388888888888889
rank | ur2,0.3,0.46,0.52,0.54,0.74,0.15,0.76,0.57,0.77,0.5344444444444445
rank | ur7,0.37,0.41,0.53,0.7,0.78,0.1,0.6,0.45,0.72,0.5177777777777778
rank | ut3,0.3,0.53,0.25,0.51,0.57,0.03,0.69,0.42,0.84,0.45999999999999996
rank | ut7,0.19,0.42,0.29,0.51,0.61,0.07,0.62,0.37,0.71,0.4211111111111111
tour3 | empty,0.08,0.52,0.01,0.01,0.0,0.04,0.33,0.02,0.28,0.14333333333333334
tour3 | unif1,0.44,0.57,0.44,0.65,0.79,0.33,0.74,0.7,0.73,0.5988888888888889
tour3 | unif2,0.42,0.46,0.59,0.72,0.86,0.16,0.71,0.61,0.77,0.588888888888889
tour3 | unif7,0.44,0.41,0.63,0.69,0.81,0.09,0.64,0.49,0.7,0.5444444444444445
tour3 | up2,0.54,0.35,0.53,0.62,0.87,0.25,0.61,0.6,0.67,0.56
tour3 | up7,0.39,0.41,0.63,0.7,0.94,0.13,0.53,0.47,0.55,0.5277777777777777
tour3 | ur2,0.39,0.39,0.48,0.74,0.91,0.2,0.65,0.59,0.75,0.5666666666666668
tour3 | ur7,0.46,0.39,0.61,0.74,0.9,0.21,0.56,0.56,0.76,0.5766666666666667
tour3 | ut3,0.45,0.4,0.49,0.69,0.84,0.22,0.75,0.61,0.76,0.5788888888888889
tour3 | ut7,0.38,0.45,0.6,0.71,0.83,0.15,0.74,0.57,0.69,0.568888888888889
tour5 | empty,0.08,0.52,0.0,0.01,0.02,0.0,0.26,0.0,0.29,0.1311111111111111
tour5 | unif1,0.51,0.45,0.76,0.77,0.93,0.45,0.8,0.78,0.67,0.6800000000000002
tour5 | unif2,0.5,0.45,0.74,0.79,0.96,0.43,0.71,0.57,0.74,0.6544444444444445
tour5 | unif7,0.46,0.42,0.76,0.78,0.98,0.19,0.58,0.53,0.66,0.5955555555555556
tour5 | up2,0.45,0.44,0.73,0.71,0.97,0.44,0.71,0.74,0.69,0.6533333333333332
tour5 | up7,0.42,0.43,0.78,0.81,1.0,0.34,0.62,0.6,0.62,0.6244444444444444
tour5 | ur2,0.44,0.52,0.66,0.8,0.99,0.44,0.72,0.69,0.74,0.6666666666666666
tour5 | ur7,0.52,0.45,0.8,0.88,0.97,0.24,0.65,0.6,0.66,0.6411111111111112
tour5 | ut3,0.52,0.4,0.65,0.73,0.93,0.38,0.69,0.73,0.78,0.6455555555555555
tour5 | ut7,0.5,0.48,0.74,0.83,0.96,0.28,0.69,0.65,0.67,0.6444444444444445
tour7 | empty,0.13,0.55,0.0,0.02,0.0,0.02,0.31,0.0,0.22,0.1388888888888889
tour7 | unif1,0.56,0.53,0.77,0.82,0.95,0.54,0.72,0.76,0.77,0.7133333333333334
tour7 | unif2,0.44,0.54,0.83,0.85,0.99,0.4,0.62,0.68,0.64,0.6655555555555556
tour7 | unif7,0.5,0.52,0.86,0.82,0.98,0.32,0.67,0.55,0.7,0.6577777777777778
tour7 | up2,0.55,0.56,0.85,0.83,0.94,0.36,0.66,0.72,0.66,0.6811111111111111
tour7 | up7,0.53,0.48,0.86,0.83,0.98,0.4,0.63,0.59,0.64,0.6599999999999999
tour7 | ur2,0.52,0.46,0.79,0.88,0.99,0.43,0.6,0.83,0.66,0.6844444444444444
tour7 | ur7,0.42,0.43,0.93,0.88,0.98,0.41,0.73,0.68,0.71,0.6855555555555555
tour7 | ut3,0.55,0.51,0.81,0.78,0.97,0.44,0.78,0.65,0.7,0.6877777777777779
tour7 | ut7,0.59,0.49,0.79,0.85,0.98,0.39,0.72,0.65,0.75,0.69
